place_i,place_j,shared_users,place_i_users,place_j_users,pci,dir_pci
SYR,BGR,8,1493,5496,2.793,1.456
KAZ,QAT,31,3178,38118,2.817,0.813
DNK,LBY,11,38106,2753,1.074,3.996
PHL,ISR,392,571031,10149,5.149,38.624
DOM,COD,46,46940,4194,3.278,10.968
DMA,AZE,2,246,4083,1.996,0.490
GGY,IMN,15,1036,2568,9.196,5.841
SPM,MUS,1,21,1957,4.933,0.511
TWN,FRA,2049,61165,487938,11.861,4.199
MLI,MRT,9,925,429,14.287,20.979
SAU,BMU,8,517797,997,0.352,8.024
LUX,BES,3,8446,414,1.604,7.246
ARM,BGD,17,1505,38564,2.231,0.441
GGY,MAR,16,1036,35288,2.646,0.453
HKG,AZE,43,42552,4083,3.262,10.531
EGY,BFA,19,156265,508,2.133,37.402
COL,FRA,4892,236920,487938,14.388,10.026
BDI,COD,28,289,4194,25.433,6.676
KWT,SHN,1,110415,29,0.559,34.483
LBN,URY,17,6368,48468,0.968,0.351
MAC,NER,1,4155,518,0.682,1.931
COD,GAB,22,4194,1522,8.708,14.455
JEY,LUX,15,2019,8446,3.632,1.776
ALA,RUS,27,444,136230,3.472,0.198
SMR,GMB,1,869,542,1.457,1.845
GNQ,TUR,12,196,717647,1.012,0.017
GRL,ROU,13,447,18903,4.472,0.688
ROU,ASM,4,18903,106,2.826,37.736
COD,GIN,8,4194,1066,3.784,7.505
ROU,GNB,3,18903,98,2.204,30.612
HUN,BES,5,30689,414,1.403,12.077
NZL,PRY,50,29647,39492,1.461,1.266
MDA,MAC,3,737,4155,1.714,0.722
GLP,HUN,12,1022,30689,2.143,0.391
GRC,ROU,1085,61903,18903,31.718,57.398
BRA,EGY,1268,1284039,156265,2.831,8.114
AZE,SAU,442,4083,517797,9.613,0.854
VIR,TUR,39,4378,717647,0.696,0.054
ITA,PER,2343,302492,81652,14.908,28.695
MSR,ATG,14,77,1084,48.458,12.915
LVA,USA,1638,9833,4704692,7.616,0.348
CIV,MUS,10,2962,1957,4.153,5.110
NGA,KNA,15,218728,641,1.267,23.401
SWE,COD,81,59123,4194,5.144,19.313
TJK,CHL,5,257,143661,0.823,0.035
JEY,FRO,3,2019,272,4.048,11.029
GUF,COG,1,303,1963,1.297,0.509
AUT,ATG,38,61352,1084,4.660,35.055
XNC,DZA,9,3582,21587,1.023,0.417
ETH,CZE,58,2741,43191,5.331,1.343
FRO,CIV,1,272,2962,1.114,0.338
GUF,BHS,6,303,7854,3.889,0.764
GHA,CAN,724,56052,384644,4.931,1.882
DZA,SGP,78,21587,75983,1.926,1.027
TWN,LVA,86,61165,9833,3.507,8.746
GIN,GRC,14,1066,61903,1.723,0.226
GEO,RWA,5,4124,2415,1.584,2.070
GNB,COD,4,98,4194,6.239,0.954
HUN,RWA,10,30689,2415,1.162,4.141
CHL,MWI,12,143661,1396,0.847,8.596
NZL,COG,21,29647,1963,2.753,10.698
SEN,IRN,14,3434,14530,1.982,0.964
SUR,GAB,1,319,1522,1.435,0.657
TKM,MAR,5,188,35288,1.941,0.142
LBY,AUT,19,2753,61352,1.462,0.310
KWT,CHL,60,110415,143661,0.476,0.418
GRC,NLD,4755,61903,191777,43.641,24.794
CMR,SLV,8,9757,19968,0.573,0.401
URY,CYM,13,48468,1631,1.462,7.971
ATG,TCD,2,1084,308,3.461,6.494
SYC,XNC,3,534,3582,2.169,0.838
PYF,MRT,1,766,429,1.744,2.331
KAZ,GHA,12,3178,56052,0.899,0.214
LKA,MSR,1,7471,77,1.318,12.987
BRB,GNQ,2,2089,196,3.126,10.204
SDN,AGO,11,15075,2537,1.779,4.336
NLD,LBR,24,191777,635,2.175,37.795
CUB,TCA,41,6315,1467,13.470,27.948
DEU,ALB,266,273307,1755,12.146,151.567
SEN,LTU,7,3434,5816,1.566,1.204
NOR,CPV,34,31294,948,6.242,35.865
MYT,IDN,2,123,797242,0.202,0.003
ZAF,PRK,17,180112,450,1.888,37.778
EST,POL,857,7914,58288,39.902,14.703
LVA,THA,311,9833,349012,5.309,0.891
TWN,LBY,12,61165,2753,0.925,4.359
TUN,PYF,9,3690,766,5.353,11.749
TUN,EST,21,3690,7914,3.886,2.654
TCD,LBY,4,308,2753,4.344,1.453
NGA,PRT,460,218728,114156,2.911,4.030
SLV,ETH,12,19968,2741,1.622,4.378
PRY,FRO,1,39492,272,0.305,3.676
DNK,CHN,844,38106,150889,11.131,5.594
BRB,CIV,4,2089,2962,1.608,1.350
DZA,FRA,1970,21587,487938,19.195,4.037
SLB,TUV,1,74,11,35.050,90.909
TZA,ESP,699,25444,612306,5.600,1.142
BIH,CYM,3,2960,1631,1.365,1.839
MYS,CMR,66,300914,9757,1.218,6.764
CZE,VNM,516,43191,47073,11.444,10.962
AFG,WSM,1,1444,228,1.743,4.386
MUS,SYC,43,1957,534,42.063,80.524
GHA,BRB,25,56052,2089,2.310,11.967
TUR,COL,984,717647,236920,2.386,4.153
FIN,ECU,84,32500,61055,1.886,1.376
AUS,GRC,1869,179728,61903,17.719,30.192
KOR,LAO,201,111488,2983,11.022,67.382
PHL,BLR,55,571031,4614,1.072,11.920
NER,GRC,9,518,61903,1.589,0.145
